rank,feature,group,mean_importance,std_importance
1,Energy_std,Prosody,0.05148365905213876,0.004064468205158978
2,Energy_max,Prosody,0.04730764409661708,0.003090673074626945
3,Energy_mean,Prosody,0.04715955757901413,0.0023880511714740125
4,HNR,Voice Quality,0.04462267579364565,0.004762120724826663
5,Energy_range,Prosody,0.04349124349935737,0.003072085960181121
6,MFCC_1_mean,MFCC,0.04108379557866446,0.005394507832348066
7,MFCC_5_mean,MFCC,0.040937242322874025,0.002167273345915165
8,MFCC_12_mean,MFCC,0.033570929272330456,0.0021147664807963443
9,Shimmer,Voice Quality,0.03198554223832686,0.005546237651327065
10,MFCC_1_std,MFCC,0.031138754460329408,0.001719069726760475
11,MFCC_11_std,MFCC,0.03013733655099661,0.0037571997776463615
12,MFCC_3_mean,MFCC,0.029884036776422065,0.0037680715071319072
13,Jitter,Voice Quality,0.02717668403614802,0.0027771926040781277
14,MFCC_8_mean,MFCC,0.02635682812189714,0.005109711091804424
15,MFCC_7_mean,MFCC,0.025778245745358867,0.0013211537451999283
16,MFCC_9_mean,MFCC,0.02534717378373666,0.0013459470692012796
17,MFCC_10_mean,MFCC,0.02507070414827385,0.0028075867246467865
18,MFCC_2_mean,MFCC,0.024740342928702294,0.0021483238938354936
19,MFCC_4_mean,MFCC,0.024444281174578943,0.0018247405496091913
20,MFCC_2_std,MFCC,0.02374203105041739,0.00264312911266758
21,MFCC_8_std,MFCC,0.023570899641617838,0.0017106482713041024
22,MFCC_12_std,MFCC,0.02317900525349177,0.0010733584702848006
23,MFCC_7_std,MFCC,0.022862632899886576,0.0031850019927492207
24,MFCC_3_std,MFCC,0.022736625525593954,0.002477180602800588
25,MFCC_6_std,MFCC,0.021054105430864566,0.001152010866303051
26,MFCC_9_std,MFCC,0.020805725623057887,0.0018184846343228158
27,Energy_min,Prosody,0.020573246911984144,0.002483816412715685
28,MFCC_11_mean,MFCC,0.02046710286768288,0.002107353202590351
29,MFCC_5_std,MFCC,0.0201949136761267,0.0007802473826867943
30,MFCC_4_std,MFCC,0.019910291291322837,0.0012213156391344254
31,MFCC_6_mean,MFCC,0.019850472239082276,0.001359191801020621
32,MFCC_10_std,MFCC,0.019787878583491125,0.0022946620496012778
33,MFCC_13_mean,MFCC,0.01813630363183684,0.0010174343954669751
34,MFCC_13_std,MFCC,0.017835006419040827,0.0008770256507656305
35,ZCR_mean,Prosody,0.017086431778595205,0.0009752515343029764
36,ZCR_std,Prosody,0.016490650016494583,0.0014822256906490828
37,Pitch_min,Prosody,0.0,0.0
38,Pitch_std,Prosody,0.0,0.0
39,Pitch_max,Prosody,0.0,0.0
40,Pitch_mean,Prosody,0.0,0.0
41,Pitch_range,Prosody,0.0,0.0
