actor,n_train,n_test,accuracy,macro_f1,precision,recall,model
01,353,73,0.2328767123287671,0.18444465552178316,0.2622863247863248,0.21325757575757576,Logistic Regression
03,351,75,0.48,0.41484604105571843,0.48744454075336424,0.44906655844155846,Logistic Regression
05,347,79,0.4810126582278481,0.3768843383621002,0.445436507936508,0.3950721153846154,Logistic Regression
07,350,76,0.39473684210526316,0.2989819004524887,0.30450766338924234,0.34611742424242425,Logistic Regression
09,364,62,0.45161290322580644,0.4417010073260073,0.5395698051948052,0.44791666666666663,Logistic Regression
11,365,61,0.3770491803278688,0.29639265962795375,0.3673202614379085,0.35416666666666663,Logistic Regression
01,353,73,0.410958904109589,0.35094003360013254,0.38692002442002443,0.3619318181818182,Random Forest
03,351,75,0.37333333333333335,0.2904055031722308,0.3415032679738562,0.3340097402597403,Random Forest
05,347,79,0.5443037974683544,0.4422725140712946,0.5015674603174604,0.4620192307692308,Random Forest
07,350,76,0.4473684210526316,0.3673285048285048,0.4232638888888889,0.4015879953379954,Random Forest
09,364,62,0.3548387096774194,0.27261904761904765,0.29788961038961037,0.3263888888888889,Random Forest
11,365,61,0.3770491803278688,0.29068555627379156,0.27271241830065357,0.3541666666666667,Random Forest
01,353,73,0.2876712328767123,0.27018393521682993,0.33494397759103645,0.2859848484848485,Gradient Boosting
03,351,75,0.41333333333333333,0.32910509031198687,0.3120993589743589,0.36627435064935066,Gradient Boosting
05,347,79,0.4430379746835443,0.41235652159565206,0.4343864468864469,0.4087740384615385,Gradient Boosting
07,350,76,0.34210526315789475,0.2849056036556037,0.32600108225108226,0.29705710955710957,Gradient Boosting
09,364,62,0.4032258064516129,0.3125994600738846,0.4720643939393939,0.3732638888888889,Gradient Boosting
11,365,61,0.32786885245901637,0.27606209150326794,0.2921717171717172,0.3090277777777778,Gradient Boosting
01,353,73,0.2876712328767123,0.20467032967032966,0.26272081413210446,0.25293560606060606,SVC
03,351,75,0.41333333333333333,0.30684455704478586,0.2767526455026455,0.3729707792207792,SVC
05,347,79,0.5063291139240507,0.38291216007934276,0.4130883962780515,0.40420673076923075,SVC
07,350,76,0.3157894736842105,0.21395902858751153,0.22847744360902256,0.25662878787878785,SVC
09,364,62,0.4032258064516129,0.3788515406162465,0.5520833333333333,0.43229166666666663,SVC
11,365,61,0.3442622950819672,0.31271805273833675,0.41780462184873945,0.32291666666666663,SVC
