actor,n_train,n_val,n_test,accuracy,macro_f1,precision,recall,epochs_run,n_params,model
01,300,53,73,0.2191780821917808,0.1649270666888865,0.2805497198879552,0.20710227272727272,37,6920,MLP_1Layer
03,298,53,75,0.52,0.4103487886382623,0.38701512303485985,0.4675324675324675,40,6920,MLP_1Layer
05,294,53,79,0.569620253164557,0.4771103896103896,0.6197265302755322,0.4731971153846154,50,6920,MLP_1Layer
07,297,53,76,0.3684210526315789,0.26421653527631783,0.35386904761904764,0.3148674242424242,39,6920,MLP_1Layer
09,309,55,62,0.3870967741935484,0.3469047619047619,0.4195261437908497,0.37326388888888884,49,6920,MLP_1Layer
11,310,55,61,0.3442622950819672,0.2884233996362143,0.3429834054834055,0.3229166666666667,46,6920,MLP_1Layer
01,300,53,73,0.3561643835616438,0.29149504195270787,0.3572927072927073,0.31420454545454546,43,54216,MLP_3Layer
03,298,53,75,0.41333333333333333,0.30408856190106187,0.2971744264507422,0.36870941558441556,42,54216,MLP_3Layer
05,294,53,79,0.5443037974683544,0.48119467338217337,0.5093019005847953,0.49903846153846154,37,54216,MLP_3Layer
07,297,53,76,0.35526315789473684,0.23184734886862549,0.22487745098039216,0.30350378787878785,35,54216,MLP_3Layer
09,309,55,62,0.43548387096774194,0.34786846342910416,0.3279970760233918,0.4184027777777778,34,54216,MLP_3Layer
11,310,55,61,0.32786885245901637,0.2677521008403361,0.26537698412698413,0.3090277777777778,48,54216,MLP_3Layer
01,300,53,73,0.2465753424657534,0.1859665200391007,0.24086438923395445,0.24895833333333334,27,189960,CNN_1D
03,298,53,75,0.4666666666666667,0.38704212454212455,0.3726660401002506,0.4379058441558441,21,189960,CNN_1D
05,294,53,79,0.4936708860759494,0.3950923259746789,0.48084415584415585,0.43004807692307695,26,189960,CNN_1D
07,297,53,76,0.3684210526315789,0.25911764705882356,0.279495841995842,0.3077651515151515,24,189960,CNN_1D
09,309,55,62,0.5,0.4247941916129522,0.5530832392245435,0.4652777777777778,19,189960,CNN_1D
11,310,55,61,0.32786885245901637,0.26988510715290903,0.3061625874125874,0.3107638888888889,22,189960,CNN_1D
01,300,53,73,0.410958904109589,0.3441800524037366,0.39712225274725277,0.38304924242424243,49,157705,CNN_LSTM_Attention
03,298,53,75,0.25333333333333335,0.182186314918336,0.16756270690094222,0.22199675324675325,29,157705,CNN_LSTM_Attention
05,294,53,79,0.4430379746835443,0.2995504806076494,0.34144606307435255,0.3485576923076923,24,157705,CNN_LSTM_Attention
07,297,53,76,0.42105263157894735,0.3471603897567387,0.3645395658263305,0.3589379370629371,45,157705,CNN_LSTM_Attention
09,309,55,62,0.25806451612903225,0.1807888669301713,0.20786340852130325,0.2378472222222222,28,157705,CNN_LSTM_Attention
11,310,55,61,0.29508196721311475,0.1691496908888213,0.12326388888888888,0.2725694444444444,21,157705,CNN_LSTM_Attention
